group,value
A,52.483570765056164
A,49.308678494144075
A,53.23844269050346
A,57.61514928204013
A,48.82923312638332
A,48.8293152152541
A,57.896064077536955
A,53.837173645764544
A,47.65262807032524
A,52.712800217929825
A,47.68291153593769
A,47.671351232148716
A,51.20981135783017
A,40.43359877671101
A,41.375410837434835
A,47.188562353795135
A,44.93584439832788
A,51.57123666297637
A,45.45987962239394
A,42.93848149332354
A,57.32824384460777
A,48.87111849756732
A,50.337641023439616
A,42.87625906893272
A,47.27808637737409
A,50.554612948549334
A,44.24503211288849
A,51.87849009172836
A,46.99680655040598
A,48.54153125103362
A,46.991466938853016
A,59.26139092254469
A,49.93251387631033
A,44.7114453552205
A,54.11272456051594
A,43.89578175014489
A,51.04431797502378
A,40.201649380601125
A,43.359069755507846
A,50.984306179345616
A,53.69233289997705
A,50.85684140594985
A,49.4217585880588
A,48.494481522053555
A,42.60739004816286
A,46.40077895802646
A,47.696806145201066
A,55.285611131094576
A,51.718091447842305
A,41.18479922318633
A,51.620419846973974
A,48.07458859791842
A,46.61538999847021
A,53.058381444204336
A,55.154997612479754
A,54.65640059558099
A,45.80391238388681
A,48.45393812074393
A,51.65631715701782
A,54.877725635611796
A,47.60412881077355
A,49.07170511668092
A,44.468325129969855
A,44.01896687959665
A,54.06262911197099
A,56.78120014285412
A,49.63994939209833
A,55.017664489460124
A,51.808180125238174
A,46.774401226974376
A,51.80697802754207
A,57.690182832329846
A,49.82086980445024
A,57.82321827907003
A,36.901274479551276
A,54.10951252187612
A,50.435235341190854
A,48.50496324767066
A,50.458803882677515
A,40.06215542699554
A,48.90164056081244
A,51.78556285755873
A,57.38947022370758
A,47.40864890863176
A,45.95753198553406
A,47.491214782077314
A,54.57701058851037
A,51.64375554829842
A,47.351198981164806
A,52.56633716556678
A,50.4853877467402
A,54.84322495266444
A,46.48973453061324
A,48.36168926701116
A,48.03945923433921
A,42.68242525933941
A,51.48060138532288
A,51.30527636089945
A,50.025567283212304
A,48.82706433312426
A,42.923146289747926
A,47.8967733861732
A,48.286427417366156
A,45.9886136538919
A,49.19357144166995
A,52.02025428407269
A,59.43092950605265
A,50.872889064159196
A,51.28775195361382
A,49.62777042116917
A,40.40614392350479
A,49.867430622753915
A,50.30115104970513
A,62.316210562426434
A,49.03819517609439
A,51.50773671166806
A,49.82644115147378
A,44.15660981190234
A,55.7141140725751
A,53.75966516343387
